Gene_names	mmol_gDCW_average
RHTO_02497	6.954477672144137e-06
RHTO_01625	1.5199720814194112e-06
RHTO_03046	3.88562685652255e-06
RHTO_06818	1.7712750236204667e-06
RHTO_01168	1.5798828817551236e-05
RHTO_04073	4.0045658434048805e-06
RHTO_06528	1.0958842597025443e-05
RHTO_06073	8.26483879157213e-06
RHTO_04994	1.5761829680419706e-06
RHTO_07844	7.853183339145693e-06
RHTO_00279	3.7198168149953698e-06
RHTO_00949	3.4661178877639512e-06
RHTO_06329	1.011328154972528e-05
RHTO_00111	2.234642855189586e-06
RHTO_05407	1.1455627743849103e-05
RHTO_07434	8.49007921400207e-07
RHTO_02079	7.68069776709414e-06
RHTO_00749	2.2035738672779875e-06
RHTO_05244	9.62470697691785e-06
RHTO_02328	2.707946773791415e-06
RHTO_05245	3.276547712977879e-06
RHTO_00385	5.077378471848485e-07
RHTO_05934	5.2415206181282134e-06
RHTO_06886	1.753235325834539e-06
RHTO_02384	1.0414372272229318e-05
RHTO_00950	1.4598350767446296e-06
RHTO_06976	3.5443321807794727e-06
RHTO_03348	4.335632191049004e-06
RHTO_06480	1.1031399291560978e-06
RHTO_05627	6.559243025744718e-07
RHTO_05920	7.87825951129187e-06
RHTO_06926	1.6029517892677576e-06
RHTO_00392	7.007852685283122e-07
RHTO_06717	4.190654398233534e-06
RHTO_00606	2.89355088532513e-07
RHTO_07665	6.280487001846433e-07
RHTO_05896	1.8637739005589185e-06
RHTO_03621	7.642801434867363e-07
RHTO_07503	2.0470705874973654e-05
RHTO_02102	1.0623601165828033e-05
RHTO_02880	7.554636391310527e-07
RHTO_07747	1.615631063936819e-06
RHTO_03579	2.5264922131061602e-06
RHTO_00152	1.2347523347031245e-06
RHTO_06870	2.2858993577960315e-06
RHTO_01414	3.0168938331325668e-05
RHTO_01050	7.200038206791359e-07
RHTO_07151	2.356003259245376e-05
RHTO_01739	2.4376621576783135e-06
RHTO_03952	1.7036522476449618e-06
RHTO_07250	4.257113194697189e-06
RHTO_05541	1.2703211833844907e-06
RHTO_06913	6.750260444502526e-07
RHTO_01470	3.7248748541038307e-06
RHTO_08139	1.6528615107304554e-06
RHTO_01440	3.2085776491731473e-06
RHTO_04939	6.175620057057589e-07
RHTO_06458	8.89878781308135e-06
RHTO_03866	1.3043214276069507e-05
RHTO_00011	5.622573554845892e-06
RHTO_00590	7.497668263193001e-06
RHTO_02882	2.122118724227639e-05
RHTO_04662	3.3846047876541393e-06
RHTO_04622	2.3017037421070253e-06
RHTO_00673	2.0681335196976132e-06
RHTO_07576	5.240019899712409e-06
RHTO_05680	1.5458870566518259e-06
RHTO_04152	6.449552027046357e-06
