uniprot	Gene_names	GNlim_1	GNlim_2
M7XSK8	RHTO_07550	1.9787792382066526e-06	1.7372568931542262e-06
M7WL24	RHTO_05802	5.425635289553029e-07	4.4722287379869886e-07
M7XJI1	RHTO_06058	1.1842758443206743e-06	1.120227658550437e-06
M7WSB2	RHTO_07196	1.8874571198021581e-06	1.5847381398962477e-06
M7XY86	RHTO_02961	1.3057485418996196e-06	1.0297969693784723e-06
M7X3R5	RHTO_06504	1.59117720334794e-06	1.5832917555885223e-06
M7X2J1	MEF1	1.2013807495326514e-07	1.097881088441025e-07
M7XPE6	RHTO_01303	1.588427318209669e-06	1.335853638398597e-06
M7XIA4	RHTO_03922	8.059710124415068e-07	5.90040631603502e-07
M7WP94	RHTO_04210	2.5095847636596577e-07	2.1289434184699795e-07
M7WEJ0	TIF32	1.9837937976085518e-07	1.4351953340095816e-07
M7WKA2	RHTO_06536	4.313921635115644e-07	3.680698837044631e-07
M7XD32	RHTO_01341	3.285289346968715e-08	2.6494599136926785e-08
M7WWF5	RHTO_00710	1.4543923560223627e-06	1.2290584313241952e-06
M7WYA7	RHTO_07695	7.773124596938822e-06	6.143362171924415e-06
M7WIH9	RHTO_03558	1.1718292035461774e-05	9.30363294236466e-06
M7XYM0	RHTO_03126	4.846178065113673e-07	3.480725687042005e-07
M7WKX0	RHTO_05784	1.5213431424392782e-06	1.0757730722198288e-06
M7XAJ6	RHTO_02358	8.296773812833283e-07	5.77074845531641e-07
M7WFJ0	RHTO_05134	9.163543988252997e-07	8.371370796788861e-07
M7WP17	RHTO_01016	8.012945138419488e-05	7.496244456688427e-05
M7WNG0	RHTO_04563	5.361835654966267e-07	5.137186917851222e-07
M7X4N6	RHTO_05737	8.741773505868136e-07	7.721687623952996e-07
M7X6J7	RHTO_00409	6.251810583713137e-06	5.053179168180703e-06
M7XWZ6	RHTO_04933	9.198202069963463e-06	8.940035232178334e-06
M7WW72	RHTO_05017	1.8912551055910434e-07	1.5099660661327804e-07
M7X6S8	RHTO_00183	1.1745864478166362e-05	9.923495027433853e-06
M7X1F1	RHTO_06989	2.018373175161139e-06	2.1892022455450497e-06
M7XD58	RHTO_06702	8.089454451677375e-07	6.974616884741083e-07
M7X896	RHTO_03928	7.385283789431041e-07	5.331951442036173e-07
