uniprot	Gene_names	XNlim_1	XNlim_2
M7WK50	RHTO_05962	2.7696169905915e-07	2.660044854943551e-07
M7XGG1	RHTO_07829	2.275543869209785e-07	2.0556233460275806e-07
M7XIH0	RHTO_04002	3.6151211392839106e-08	3.735401685540126e-08
M7WYQ4	RHTO_07856	4.559816986690675e-08	3.597508059725809e-08
M7WKE8	RHTO_02299	2.4223786046445066e-07	2.211937960893086e-07
M7X1T3	RHTO_06079	5.849421750049627e-08	4.384527744478309e-08
M7WN54	RHTO_05197		9.765133066632045e-08
M7WK21	RHTO_02448	8.354805241587085e-07	8.255868076654345e-07
M7WS89	RHTO_07171	2.5099411254351177e-08	1.808821676045059e-08
M7WL88	RHTO_05723		1.639617211277757e-07
M7X698	NOP7	4.2988968170071743e-07	1.2056951235361085e-07
M7WPM4	RHTO_00781	1.27312083087228e-06	1.2609164292787211e-06
M7X9A6	RHTO_03495		
M7X2L5	RHTO_04750	5.406746815573284e-09	5.179294763110736e-09
M7X6J9	RHTO_00128	3.465787447298291e-07	4.243654816976809e-07
M7XXA4	RHTO_05068	2.4074093968621883e-06	1.1847318301267575e-06
M7WNK2	RHTO_04421	1.5151131830747146e-06	1.039496462849952e-05
M7XI95	RHTO_03911	5.727298373403179e-08	1.358521809905821e-07
M7XEL7	RHTO_05830	4.952912569208071e-07	2.815902328022752e-07
M7WK05	RHTO_06611	2.434346628681211e-07	1.7434336694191919e-07
M7WIW7	RHTO_03376	1.9761343203655584e-07	3.431624854608591e-07
M7X7F7	RHTO_00453	3.0057032667266705e-07	3.333444758294592e-07
M7XGQ3	RHTO_07925	1.871710619637427e-06	1.8550534513536789e-06
M7XXM3	RHTO_02744	1.781863049129026e-07	1.6186295257004903e-07
M7X211	RHTO_06149	4.3303309069187493e-07	6.07229698343813e-07
M7WQ25	RHTO_07985	4.422027674931745e-07	3.907449691688654e-07
M7WUE0	RHTO_01333		7.556787311946026e-07
M7XMP2	RHTO_01914	9.361589965389711e-07	8.774378788097471e-07
M7WMC4	RHTO_05138	4.406224507413556e-07	4.084422335356059e-07
M7XGE2	RHTO_05150	9.391226434199571e-07	7.555124974404142e-07
M7X0M2	RHTO_06900	2.80225151685654e-07	7.311541241646241e-07
M7XN14	RHTO_03012	2.5182471780039754e-07	4.0461922284505456e-07
M7XU92	RHTO_06852		2.5822186355927555e-07
M7WIK5	RHTO_03588		3.532051847030328e-06
M7X268	RHTO_04594	4.994800108056069e-08	4.275418304916924e-08
M7WG40	RHTO_04388	2.2534022924470343e-08	2.0061264970459255e-08
M7WXC1	RHTO_02980	4.4159580319568655e-08	8.212612982504529e-08
M7X3E3	RHTO_05016	8.756254990363296e-07	9.79528199605067e-07
M7WEY0	RHTO_05354		5.190545013144521e-07
M7XUE2	RHTO_06917	8.815998927984837e-08	1.1553210791778248e-07
M7WKZ8	RHTO_02028		4.382159997299822e-08
M7WKI1	RHTO_02167	1.0494689166263498e-07	1.0035823853689106e-07
M7WNX4	RHTO_04023	1.9644117851672463e-07	1.4042600463432688e-07
M7WDH6	RHTO_05993	2.1084895632612593e-07	2.6104305341044567e-07
M7X368	RHTO_04926	2.3135928656340066e-07	2.4504582313286906e-07
M7WUY3	RHTO_04575	2.1034699975614183e-07	2.2487381078893962e-07
M7XI04	RHTO_04045	2.465124075217912e-08	3.1495317765549526e-08
M7XN33	RHTO_03042	3.589596244913019e-07	4.5882502195688113e-07
M7WN91	RHTO_04310	3.6727341080940225e-07	2.966916650430372e-07
M7XMV4	RHTO_02952	1.0327071992709957e-07	9.843041050690814e-08
M7X0F7	RHTO_06820		4.279164675211614e-06
M7WVB0	RHTO_04716	7.502990871359602e-08	
M7XIW2	RHTO_06878	1.690040121801287e-07	1.6967985448897163e-07
M7XRD3	RHTO_08116	1.8810003922079185e-08	1.574743540403171e-08
M7X123	RHTO_06020	5.571680881157258e-07	4.884845350591933e-07
M7WH87	RHTO_04109		4.0511167445675785e-07
M7WUL9	RHTO_06276		2.1534949511526636e-07
M7XQG0	RHTO_00722	1.5760608611131306e-07	2.0228978131153294e-07
M7WQD9	RHTO_03487	2.4349229036321238e-08	2.3526524017839645e-08
M7WNZ1	RHTO_04355	4.38710618760586e-08	1.239974005846751e-07
M7XNJ1	RHTO_01385	1.7085888348426694e-06	1.6416253826460018e-06
M7XMX5	RHTO_01603	7.290002499008713e-08	8.708961178080795e-08
M7WUZ4	RHTO_04590	1.145447312255673e-07	1.1108135071214716e-07
M7WUI0	RHTO_01605	1.014068936971659e-06	9.649413599448405e-07
M7XJN0	RHTO_03604	5.036091729030971e-06	5.71581125084285e-06
M7X3Z9	RHTO_05000	8.201715138249834e-07	7.149685917363594e-07
M7WZP3	RHTO_07627	3.230882297714369e-08	3.126667682930746e-08
M7XW26	RHTO_04627		9.960234477979985e-07
M7XGX8	RHTO_04389		1.265485303245457e-07
M7WNJ4	RHTO_04411	5.281496693136439e-07	4.738453458108344e-07
M7X263	RHTO_04589	1.0384101608829062e-06	9.02658253335984e-07
M7WX55	RHTO_00719	1.7602850862434347e-07	1.571782002572622e-07
M7XJW0	RHTO_06158	8.7888059077148e-07	8.804700571783144e-07
M7WYV4	RHTO_00225	6.465702857863105e-07	6.092672080474017e-07
M7WW22	RHTO_01265		4.7637354185479045e-07
