uniprot	Gene_names	Xexp_1	Xexp_2	XNlim_1	XNlim_2	Aexp_1	Aexp_2	ANlim_1	ANlim_2	GexpUrea_1	GexpUrea_2	GNlimUrea_1	GNlimUrea_2
M7XYI4	RHTO_03081	2.4782413065426902e-05	2.359821422393487e-05	1.3427006401279221e-05	1.2980032811720046e-05	2.3020842492121453e-05	2.0968761282893217e-05	9.789813608854402e-06	9.161263593580778e-06	4.592839933816909e-05	4.333473809075055e-05	1.8945421695799508e-05	1.4905156556499798e-05
M7XG88	RHTO_07734	4.04909687846577e-06	4.419788706186083e-06	5.801279330894506e-06	5.804631932209672e-06	2.5174391018883437e-06	2.6828316156691276e-06	2.909072365901185e-06	3.243171469319069e-06	4.918692262040708e-06	5.9210467254491e-06	7.060852146116694e-06	6.889997125978494e-06
M7XXN8	RHTO_02759	3.0038032035966634e-06	1.2215535557776708e-06	1.6052615145265661e-06	1.5387601989117323e-06	2.867457747583281e-06	2.8401443101483605e-06	1.729756776857485e-06	1.6298525334190439e-06	5.519103589782094e-06	5.44697217755358e-06	1.7941948033504438e-06	1.5113226799156954e-06
M7XK01	RHTO_06193	3.6227260060589782e-06	2.9005055195997114e-06	1.6663998167912844e-06	1.918139250578258e-06	4.123403010728713e-06	4.874308708259392e-06	3.789641946342625e-06	3.3585728879553904e-06	3.986804387396685e-06	4.201717534009971e-06	2.6050720567083653e-06	2.1695236106213597e-06
M7WUM6	RHTO_06286	8.457103506286862e-06	7.263552904397492e-06	5.303371477672513e-06	5.694578407697888e-06	8.142389432555169e-06	9.998834748983718e-06	5.874219021659856e-06	6.197679577829056e-06	1.111438732352302e-05	9.612332469735586e-06	1.0595579303544858e-05	9.000038046697334e-06
M7XHY3	RHTO_07248	2.767598597101603e-06	3.2677621988796553e-06	1.360765577089151e-06	1.4383139898900708e-06	2.5664832946839076e-06	2.6464927476586673e-06	1.9666612811921988e-06	1.704158823591756e-06	4.1040367047561854e-06	4.563032858036689e-06	2.2153158646335338e-06	2.122933209011718e-06
M7X3L3	RHTO_05101	2.36006034706104e-06	2.8069059934225053e-06	3.403443284525208e-06	3.709685866647591e-06	6.199890612593527e-06	6.391832372775912e-06	3.458883911317931e-06	3.0757043012658335e-06	1.1724257633506e-05	1.2395810390028873e-05	3.7745556907658713e-06	3.6027376606332245e-06
M7WSH7	RHTO_02446	5.426867812951294e-06	4.8493426475152295e-06	2.2203186875600517e-06	2.3913792827386217e-06	2.934177986515025e-06	3.0568914258623753e-06	2.213756375259795e-06	2.007659788293289e-06	5.68176569330928e-06	5.149201057494479e-06	2.1691785174018073e-06	1.8853190829277323e-06
M7XKW6	RHTO_04703	1.4369200667438827e-06	1.4222496856097105e-06	8.111617873689368e-07	8.258740340720138e-07	1.3895248114230365e-06	1.5900923265816848e-06	1.1107517746571555e-06	1.016509990026444e-06	3.5868526482200897e-06	3.7217489767215083e-06	1.0961437000133074e-06	9.187125774129844e-07
M7XJI6	RHTO_03559	3.0472529935122547e-06	3.5224301712208272e-06	2.2810106350450228e-06	2.081273402815561e-06	1.888597803697417e-06	1.9438853233923223e-06	1.4369813073152293e-06	1.2831839754872733e-06	2.557529982067504e-06	2.5123578654166104e-06	1.8415742536640734e-06	1.404235077353028e-06
M7WK27	RHTO_02458	8.655641707483521e-07	8.457983864605105e-07	2.3855622838853584e-06	2.3693186063134736e-06	1.2575539450552068e-06	1.4366552337142977e-06	1.1086961621547717e-06	1.1010983227596318e-06	3.874306642735849e-06	4.140499443653522e-06	2.494440945598459e-06	2.233627446460109e-06
M7X1R6	ALA1	2.1055827613337914e-06	2.2109018453971645e-06	8.880084490221728e-07	8.303557859956248e-07	1.218572463012428e-06	1.3226448353749257e-06	7.62544821680608e-07	6.959096914861344e-07	2.063454302563033e-06	2.0881778286607893e-06	8.60309144261381e-07	6.743119717824855e-07
M7X5A4	RHTO_05591	2.941771269233603e-06	2.2280915089208155e-06	3.5195912930105708e-06	3.8042498323148204e-06	4.0294523589673755e-06	4.760995349765101e-06	3.310077569933378e-06	3.139251001207748e-06	9.633357014513787e-06	9.473069577694137e-06	4.988408898595597e-06	4.867382209827958e-06
M7XRN2	RHTO_07748	2.4108366726177135e-06	2.760728914969147e-06	1.258986876118633e-06	1.2318686101875094e-06	5.347999259083076e-06	6.8170699234740545e-06	4.235472390032984e-06	3.6197498205938867e-06	4.515102258342893e-06	4.723246385253255e-06	1.6518390979999557e-06	1.6795647968367732e-06
M7WY92	RHTO_00025	7.510728327572544e-07	7.721631316264697e-07	3.2207762468788323e-07	3.164812876545348e-07	3.686299961530431e-07	4.7565472198456354e-07	3.7905765485735613e-07	3.526211957711488e-07	1.1816406257800508e-06	1.169710722844226e-06	3.6578501070883026e-07	2.9354279529989413e-07
