protID	geneID	protName	capUse_Xexp	capUse_XNlim	absUse_Xexp	absUse_XNlim	UB_Xexp	UB_XNlim
M7X302	RHTO_04669	RHTO_04669	0.00173	0.00329	4.74e-10	2.09e-10	2.75e-07	6.34e-08
M7X304	RHTO_04876	RHTO_04876	0	0	0	0	8.76e-06	3.78e-06
M7X369	RHTO_06694	RHTO_06694	0.0711	0.0252	1.44e-07	1.77e-08	2.02e-06	7.03e-07
M7X383	RHTO_04941	RHTO_04941	0	0	0	0	Inf	Inf
M7X3A8	RHTO_04971	RHTO_04971	0	0	0	0	1.99e-06	5.41e-07
M7X3C1	RHTO_04784	RHTO_04784	0	0	0	0	Inf	Inf
M7X3F9	RHTO_04819	RHTO_04819	0.00293	0.00111	9.94e-09	1.62e-09	3.39e-06	1.46e-06
M7X3G0	RHTO_05036	RHTO_05036	0	0	0	0	7.61e-07	4.54e-07
M7X3I0	RHTO_06571	RHTO_06571	0	0	0	0	Inf	Inf
M7X3I4	RHTO_05066	RHTO_05066	0	0	1.44e-13	0	Inf	Inf
M7X3J1	RHTO_06581	RHTO_06581	0	0	0	0	5.42e-06	1.52e-06
M7X3P6	RHTO_02687	RHTO_02687	0	0	0	0	Inf	Inf
M7X3P9	RHTO_06555	RHTO_06555	0	0	0	0	2.77e-08	Inf
M7X3R7	RHTO_04910	RHTO_04910	0.115	0.066	4.13e-06	1.7e-06	3.6e-05	2.57e-05
M7X3T2	RHTO_04920	RHTO_04920	0	0	0	0	Inf	Inf
M7X3V9	RHTO_06477	RHTO_06477	0.0383	0.0102	3.82e-08	3.83e-09	9.96e-07	3.77e-07
M7X3Y4	RHTO_04980	RHTO_04980	0	0	2.11e-11	5.16e-12	Inf	Inf
M7X3Z4	RHTO_02788	RHTO_02788	0.0641	0.0347	4.87e-06	1.15e-06	7.6e-05	3.33e-05
M7X413	RHTO_02808	RHTO_02808	0	0	4.29e-08	1.57e-09	Inf	Inf
M7X422	RHTO_02818	RHTO_02818	0	0	0	0	Inf	2.03e-08
M7X429	RHTO_05040	RHTO_05040	0	0	0	0	Inf	Inf
M7X438	RHTO_05050	RHTO_05050	0	0	0	0	Inf	Inf
