uniprot	Gene_names	ANlim_1	ANlim_2
M7XG80	LSM3	2.942924139077437e-06	3.317835654385568e-06
M7WU66	RHTO_01896	3.402347627238789e-08	2.7267558014714628e-08
M7XX64	RHTO_05018	3.7016004159881324e-07	3.6313764620134015e-07
M7XUB0	RHTO_06877	8.278146717029583e-08	8.51571468307384e-08
M7X2D9	RHTO_04675	1.2193399447796152e-07	1.318721318485514e-07
M7XTT7	RHTO_07382	2.1180092932442152e-07	2.848142821282896e-07
M7XMM2	RHTO_01889	2.3742639612006484e-08	1.8576581189214402e-08
M7X4I5	RHTO_02751	5.072553059223759e-08	3.52920851937049e-08
M7XL37	RHTO_02266	3.52626310411492e-08	
M7WLK7	RHTO_05514	2.246400875105744e-07	2.550165435088107e-07
M7X5P4	RHTO_05371	1.8532684740213546e-07	2.1407759501133288e-07
M7XMX4	RHTO_02962	4.6611183647863236e-08	3.471791449765557e-08
M7WQP3	RHTO_07722	2.5559478737316747e-08	2.0308606328013595e-08
M7WTL8	RHTO_06986	3.85433906333498e-08	4.8989082299172185e-08
M7XGL1	RHTO_07885	7.677200135647995e-08	2.9676604609574855e-08
M7XJU9	RHTO_03357	1.3942636541874914e-06	1.7065486944644395e-06
M7WL50	RHTO_05832	5.501918658819052e-09	5.866527925290386e-09
M7X0X4	RHTO_06789	8.382636598737538e-07	9.185750568105e-07
M7WU23	RHTO_01636	9.829832764265714e-08	1.1982835863551946e-07
M7XI53	RHTO_07308	1.8299541863895582e-07	1.903764971710617e-07
M7WW75	RHTO_05022	3.597640742988067e-07	2.0387167365956536e-07
M7XEB1	RHTO_05999	1.7043398499189858e-07	1.2485270569873723e-07
M7XCR6	RHTO_01639	1.29193434290199e-07	1.057709928433071e-07
M7WVC5	RHTO_01442	8.145701664992161e-09	8.328705888764613e-09
M7XUT1	RHTO_06007		2.9357210545664077e-07
M7X4K3	RHTO_02969	3.9301934977788465e-07	2.3435408971532765e-07
M7WZ98	RHTO_00395	1.1947065893570118e-07	
M7X998	RHTO_03490	1.7883958291019955e-07	1.7398601801405492e-07
M7WX71	RHTO_08029	3.8243132104951505e-07	2.1579987918574755e-07
M7X795	RHTO_00378	9.753406618437532e-07	9.76257493329301e-07
M7XWJ1	RHTO_04802	1.2458708844291539e-08	1.1432628045998454e-08
M7WWM7	RHTO_00790	2.2274385640648323e-07	2.632518806981668e-07
M7WQN8	RHTO_07717	2.529087577450582e-08	1.846594348934985e-08
M7X5T2	RHTO_05406	2.865724808735232e-07	2.9999510837245296e-07
M7WL75	RHTO_05711	5.613460667889985e-07	5.305308662114967e-07
M7X1R1	RHTO_06059	6.678823545073912e-09	6.8481378993016425e-09
M7WTA4	RHTO_01767	7.528177043574733e-07	7.176899297132841e-07
M7WEF4	RHTO_05534	4.188789703557358e-07	3.053377108328987e-07
M7WP48	RHTO_04118	5.8282785870593083e-08	6.234746211496011e-08
M7XJ50	RHTO_03732	3.6659586278375445e-08	3.5390467978739524e-08
M7WWR4	RHTO_00830	2.3895774480356506e-08	2.7198419017127682e-08
M7WUM3	RHTO_01388	4.1396423019111235e-08	3.8750036691677474e-08
M7XH05	RHTO_04419	2.7089101799025737e-07	3.053488136611646e-07
M7X5A8	RHTO_03255	5.2972448720125286e-08	4.961393674093244e-08
M7XS16	RHTO_07889	1.1197629058442248e-07	1.0837811614071137e-07
M7X150	RHTO_06869	1.0049065515574295e-06	9.93909885138895e-07
M7X7X8	RHTO_04031	1.4061523039958883e-07	1.5301153368620338e-07
M7WHI3	RHTO_03981	3.3161753903378565e-08	3.292366111997054e-08
M7WX10	RHTO_07984	3.276995845266753e-07	2.9076331345839575e-07
M7X011	RHTO_06720	3.8383112933524906e-07	3.674917605128877e-07
M7X373	RHTO_04931	1.5428584001164692e-08	1.1832754564767006e-08
M7X5N2	RHTO_03128	4.648192926236933e-07	5.89197920216407e-07
M7XUR8	RHTO_07047	1.4057736575638535e-08	1.9772803772833835e-08
M7WX36	RHTO_02910	1.4377158869573226e-06	1.0752192212432901e-06
M7WZ39	RHTO_07075	7.098363922866583e-08	6.356740225952812e-08
M7XWN0	RHTO_04847	1.0308964214775178e-06	3.2525161215941224e-07
M7XG60	RHTO_07704	1.5079308501827201e-09	1.4512923973126412e-09
M7X787	RHTO_04313	1.3278447511478204e-06	
M7XHV2	RHTO_07218	3.278016327360993e-08	
M7WXH5	RHTO_00849	6.280700390137779e-08	5.495540836695649e-08
M7WPS8	RHTO_00826	7.739072238574685e-09	8.013233940217112e-09
M7XFG5	RHTO_05600		3.60701263901815e-08
M7WK93	RHTO_02221	6.533737289244593e-07	4.90014281124721e-07
M7X5S3	RHTO_00109	6.375700884453246e-07	3.382382760327698e-06
M7XK71	RHTO_02521	2.691132061843417e-08	1.7015334428112886e-08
M7WUB7	RHTO_01545	4.1201663528193e-08	3.212066489720161e-08
M7X252	RHTO_04574	1.20494037939835e-06	8.781558371015427e-07
M7WVA2	RHTO_01417	4.822263632487742e-08	8.039912064942069e-08
M7XY08	RHTO_02896	3.135638660237635e-08	3.022197499429878e-08
M7WLU4	RHTO_05398	3.010659803917285e-08	2.9959743325476525e-08
M7WN19	RHTO_01162	7.535055147713764e-08	4.978496922632905e-08
M7XES2	RHTO_05726	9.674179033622827e-08	8.299281177575606e-08
M7X374	RHTO_06664	2.128492178234589e-07	1.4352056826433924e-07
M7WYG5	RHTO_00095	6.08011814751564e-08	5.1649928918257254e-08
M7Y051	RHTO_00401	8.358970051466984e-08	7.862859073548084e-08
M7X774	RHTO_04298	2.934968072207866e-07	2.3548687312512417e-07
M7XP16	RHTO_01148	5.940182816631758e-08	5.324358240480869e-08
M7XMF3	RHTO_01809	2.5704523557257107e-08	2.7229584520445914e-08
M7X6U9	RHTO_00519	2.9562481983986923e-08	2.1548213190656456e-08
M7XCW0	RHTO_01684	3.310621262517743e-08	1.8935156469377128e-08
M7XAE7	RHTO_02662	6.855140292937521e-07	6.221109084181388e-07
M7WMS1	RHTO_04548	4.7141286670230764e-08	2.7303710915696986e-08
M7X0B3	RHTO_07284	1.4439609141926197e-08	1.2692861944212622e-08
M7WQ81	RHTO_03739	2.2618288804673046e-07	1.647700912991179e-07
M7XG56	RHTO_05291	4.2935981003193343e-07	7.04891727864132e-08
M7X1D8	RHTO_06974	8.912236670712533e-08	8.922437803855623e-08
M7XDH3	RHTO_01501	4.638749377712815e-08	4.4623968850164355e-08
M7WR49	RHTO_07903	2.450784173404219e-07	2.4184085584976095e-07
M7X450	RHTO_05970	4.279031890863064e-08	3.050074022385843e-08
M7X4E8	RHTO_02711		2.6742678571312793e-07
M7WLH8	RHTO_05484	3.200024563183094e-07	3.721329753268626e-07
M7XGA7	RHTO_07759	2.0978378618697208e-07	1.761901595581992e-07
M7WNL0	RHTO_04431	1.280978781533742e-07	8.980252984931664e-08
M7XYS1	RHTO_03187	3.9873755603308814e-08	2.9141643583352526e-08
M7WT69	RHTO_01960	9.195463049394373e-08	8.242701427741905e-08
M7WK28	RHTO_05942	6.874598983313793e-08	6.33967116588429e-08
M7WMB2	RHTO_05128	6.799111697898284e-08	4.904389704608128e-08
M7X7U0	RHTO_00588	3.525734805095681e-08	5.524992344023958e-08
M7X924	RHTO_03728	3.8464396878529206e-07	3.851919083945456e-07
M7XFN9	RHTO_05516	1.2748061403841121e-08	1.0896143922447572e-08
M7XU53	RHTO_06802	6.058395676511627e-08	5.387800520210491e-08
M7WWX8	RHTO_00624	8.382038057121129e-08	6.460419422152808e-08
M7WHB3	RHTO_03895	4.556416258836374e-07	3.7619088392401094e-07
M7XD73	RHTO_01376	9.961519608326307e-07	9.650416388231398e-07
M7X5H7	RHTO_00024	8.195192672423832e-08	7.757421996092572e-08
M7WWT9	RHTO_01049	3.3238137340414114e-07	1.6466491092182859e-06
M7X693	RHTO_05136	2.372888017741893e-07	1.8288541556315203e-07
M7X3V1	RHTO_04940	3.0888165802322345e-07	2.932896152395841e-07
M7WS50	RHTO_07121	1.5030859145773042e-06	1.5455693513456017e-06
M7WUA2	RHTO_06171	2.048096891066586e-07	1.0006715463216804e-07
M7WTR8	RHTO_07046	9.002452044938578e-08	8.279074309017711e-08
M7WWX1	RHTO_02844		9.967118079406587e-08
M7WVB4	RHTO_01251	3.1376205159742504e-08	2.3695276330852687e-08
M7XF64	RHTO_00758	9.243501099273306e-07	5.264945721777489e-07
M7WZC9	RHTO_07180	1.1105828381851336e-07	1.2602754714181065e-07
M7XFR2	RHTO_05350	3.101370376439786e-07	2.8966190324923524e-07
M7WLH3	RHTO_05479	4.427875891933247e-08	3.22918704574811e-08
M7X3P7	RHTO_06550	5.6984801831886406e-08	1.1070468074390621e-07
M7XC90	RHTO_01850	2.061028765814452e-07	1.4351272387541405e-07
M7X642	RHTO_05312	1.5132411099942858e-08	1.3334451827352524e-08
M7X2A3	RHTO_04635	1.8995105659300893e-07	1.654280450081055e-07
M7XIU5	RHTO_06853	2.132378863012252e-07	2.6152978102818877e-07
M7WML2	RHTO_05263	1.416949610317319e-07	1.2432501466912823e-07
M7XGC1	RHTO_07779	3.3084233441326395e-07	2.6807815119367304e-07
M7WFG4	RHTO_05325	1.6459119149987006e-07	1.487013236515797e-07
M7X6H8	RHTO_00389	2.130934718897209e-07	1.7155391050492007e-07
M7WE57	RHTO_05632	1.5103041582186037e-08	1.517917435234413e-08
M7WWB2	RHTO_00660	2.3718346760056453e-07	1.8444513787266464e-07
M7X7D0	RHTO_00423	6.065639141376465e-08	7.65321816450269e-08
M7WYU5	RHTO_00210		3.3141672268350086e-07
M7X4H3	RHTO_02949	3.965306005352115e-08	4.001139016691881e-08
M7X419	RHTO_05025	4.156064911741731e-07	3.2183048467113467e-07
M7XUP6	RHTO_07022	1.2806191755685659e-06	7.420358672089729e-07
M7XFU2	RHTO_05385	2.1381145022281985e-07	1.4473848095923655e-07
M7XR20	RHTO_08021	2.3833645026452864e-07	2.632299102219001e-07
M7XRF2	RHTO_08141	6.482511736964337e-07	5.781084716008113e-07
M7XKX2	RHTO_04708	1.0545444083453017e-07	6.886121628358618e-08
M7XK90	RHTO_02536	4.6917654458954174e-08	2.9753272478305082e-08
M7WKJ1	RHTO_05818	7.726436351002015e-08	
M7XP69	RHTO_00127	6.359148086693781e-07	5.473343890256498e-07
M7XLP1	RHTO_04989	3.728632943568627e-07	4.4694243367237125e-07
M7XBW2	RHTO_02105	1.3524431743103961e-08	1.0798610629331634e-08
M7WYU3	RHTO_07901		
M7X8H2	RHTO_03767	7.483604744592643e-08	6.359634597829976e-08
M7WVJ9	RHTO_00875	4.67008437993114e-07	5.14975436923477e-07
M7WKN8	RHTO_02274	5.756689257351388e-08	4.3973801434993525e-08
M7XR05	RHTO_08006	6.71908067145094e-08	6.501588005007882e-08
M7XRE2	RHTO_08131	1.2691640406151773e-07	8.527818506158393e-08
M7X584	RHTO_05566	2.876736618640742e-07	3.3307958874648596e-07
