uniprotID	GeneName	REF_048_1	REF_048_2	REF_048_3
M7WUZ9	RHTO_04595	4.279948222297865e-06	4.229466989962991e-06	4.728798541787906e-06
M7X9F0	RHTO_03555	1.0809733861326388e-08	8.149577319945127e-09	9.248234564735843e-09
M7WNW9	RHTO_04330	1.310345937299808e-06	1.6533916867240853e-06	1.3040347954506084e-06
M7WKX6	RHTO_05892	2.832722953633961e-08	2.9074313990705604e-08	2.8557969451595626e-08
M7WU89	RHTO_01921	5.303491139201037e-07	6.793566535943275e-07	9.413697900096773e-07
M7WRZ8	RHTO_02447	8.728383436968798e-07	8.997283153502489e-07	9.401282842130088e-07
M7WV71	RHTO_04671	2.0727698649520016e-08	1.8938855176319697e-08	2.119708008923688e-08
M7WXX4	RHTO_03206	4.34355587236382e-05	4.129629780316646e-05	4.697511002245584e-05
M7XG63	RHTO_05296	0.0	2.6506636053545903e-07	2.8161373662676885e-07
M7WGU8	RHTO_04212	2.448216043835026e-06	2.3378141420386083e-06	2.797958573811509e-06
M7WJI1	RHTO_02590	8.665727404520981e-07	8.267144339479695e-07	8.434097533744241e-07
M7XLU3	RHTO_05059	1.0259487418716872e-05	1.0316322696843882e-05	1.1866192455528246e-05
M7XSU5	RHTO_07625	1.927341281008065e-06	1.820952145188972e-06	1.636428893289614e-06
M7WWV0	RHTO_01064	3.7403190063527504e-06	3.5932528837320485e-06	3.7109609240575367e-06
M7WVZ0	RHTO_04912	1.6330241073104708e-06	1.7057443392889965e-06	1.9670995720083703e-06
M7X698	NOP7	2.3009062448885435e-07	2.1174719624750463e-07	2.6337321551752265e-07
M7XLP8	RHTO_04999	2.926817930638781e-07	2.7662297806350736e-07	3.0597544290006576e-07
M7WWE7	RHTO_00924	3.214409230038981e-08	2.853233065783232e-08	3.107742312120287e-08
M7WUR2	RHTO_01443	3.11677416156888e-07	2.897876428540076e-07	3.427392212598171e-07
M7WZ31	RHTO_07673	0.0	1.2646768410003376e-08	9.27454859702497e-09
M7XU80	RHTO_06837	3.199007657012259e-07	1.963024917691119e-07	1.947898813091635e-07
M7XH17	RHTO_04434	2.4967111798802927e-07	2.446539786351013e-07	2.3909345038952644e-07
M7WK40	RHTO_02473	2.8885485159422725e-07	2.8849810208094106e-07	3.3276592143251605e-07
M7WTI0	RHTO_01852	5.996047629875959e-06	5.7217097054532504e-06	6.440817342281242e-06
M7XQ67	RHTO_00492	7.71347311416471e-07	8.167970046996191e-07	8.51557804741651e-07
M7XPQ5	RHTO_00947	2.160941975259354e-08	1.750305410474861e-08	1.9159000593446668e-08
M7XSU0	RHTO_07620	7.852221162530903e-06	7.873104952115746e-06	8.929587859241964e-06
M7X3R2	RHTO_06499	6.590295508928886e-07	5.613421684165522e-07	9.720737208762521e-07
M7XKN4	RHTO_02661	6.89647483656895e-07	7.479547138561422e-07	8.528208455065926e-07
M7WVZ3	RHTO_01240	3.987790981916257e-06	3.14276206140949e-06	3.835306968148504e-06
M7WUH0	RHTO_01358	3.1761997829855195e-06	2.8928803355607127e-06	3.281733107331425e-06
M7XG78	RHTO_07724	6.177760806441539e-07	5.587344817148324e-07	5.048881434291622e-07
M7WQT3	RHTO_07777	1.7214008975742087e-07	1.7232797946149665e-07	1.676458214329145e-07
M7X5A9	RHTO_05596	9.951747244631562e-07	8.444481084550472e-07	0.0
M7XJV9	RHTO_03367	1.092543514010967e-06	1.1033721402117164e-06	1.0958179305451237e-06
M7XCZ0	RHTO_01714	1.3483001634322485e-07	5.6406339832270865e-08	1.1447924713519821e-07
M7WXU4	RHTO_07771	4.0551989934784555e-05	3.797223878730538e-05	4.005031582752544e-05
M7XIU1	RHTO_06848	8.930690572482971e-07	8.433872172546708e-07	9.672740773243278e-07
M7XJ77	RHTO_07013	5.545211443375806e-08	5.561212857541415e-08	6.785846608750512e-08
M7XKD7	RHTO_06333	5.971552846821295e-07	6.0839744981214e-07	5.630336750146047e-07
M7WZ76	RHTO_00370	7.654572928659869e-06	6.703674829366139e-06	7.531299262836697e-06
M7WT57	RHTO_02117	3.069049413626556e-08	3.2982530543501815e-08	4.4764861566245545e-08
M7XE28	RHTO_01289	1.5671878574020975e-05	1.475151246012667e-05	1.570064415787669e-05
M7X3S3	RHTO_02717	2.356156039120203e-08	0.0	0.0
M7WXT6	RHTO_07761	1.61830912439139e-06	1.4664540706297998e-06	1.6277395136646491e-06
M7WZ39	RHTO_07075	2.557001411815706e-07	2.4523278545871834e-07	3.056474671009966e-07
M7WR65	RHTO_07923	5.295815862320336e-06	5.39917608423983e-06	5.807793302637615e-06
M7WUF2	RHTO_06216	4.2383887646945e-06	4.324039758768044e-06	4.944048237609649e-06
M7XC99	RHTO_01860	4.9122038679619506e-08	4.50791706646922e-08	5.477777410399587e-08
M7XJQ5	RHTO_06113	2.5256175924853226e-06	2.448085727491503e-06	2.5688475028904417e-06
M7WZF0	RHTO_00455	1.237420158434395e-06	7.652127193361787e-07	1.1345367322782145e-06
M7XVK5	RHTO_06252	6.693566732675998e-07	7.028446585944961e-07	6.552713579302074e-07
M7X8S5	RHTO_03877	0.0	0.0	0.0
M7XHK0	RHTO_07103	4.1060177721271297e-07	3.6653543669807825e-07	4.025522126609077e-07
M7XXT6	RHTO_02815	8.337860658184385e-07	8.134901842984041e-07	9.344184436934132e-07
M7WRV0	RHTO_02392	2.2092649734309692e-08	1.769793055320122e-08	2.1930698159114616e-08
M7WY08	RHTO_03246	1.221211179204396e-07	1.3830831439286235e-07	1.438583299715767e-07
M7WT20	RHTO_02082	3.799466797805352e-09	0.0	0.0
M7WJJ6	RHTO_02605	2.6668956078398204e-07	2.1360600754282259e-07	2.5765243171926423e-07
M7WYJ5	RHTO_07795	2.2836770303159223e-06	2.068130188457228e-06	2.478478351126438e-06
M7WV57	RHTO_04656	2.4425207973204055e-07	2.377456032715704e-07	2.398589272318806e-07
M7X4F8	RHTO_02721	2.2835593856975814e-07	1.9126702231902613e-07	1.995392394793016e-07
M7XEL7	RHTO_05830	8.099434825694588e-07	7.38492795051148e-07	7.661110122001247e-07
M7XW36	RHTO_04637	1.0295753560520258e-08	1.193706768052866e-08	1.4563162120131212e-08
M7WKW6	RHTO_01998	0.0	7.047961839296853e-08	7.62175242867583e-08
M7XZ45	RHTO_00011	6.6928918851121506e-06	6.188423688812651e-06	7.175217297300315e-06
M7WQW2	RHTO_07812	0.00024603976840318953	0.0001722637850383594	0.00010555745900525325
M7XU58	RHTO_06807	1.9291597913939953e-06	1.8519771451767633e-06	2.0327121801309053e-06
M7XSX7	RHTO_07670	6.217522370723139e-10	1.583725016835917e-09	1.7954561195964324e-09
M7WM43	RHTO_01637	2.0788907085404673e-07	1.663848108950705e-07	1.9886870441329969e-07
M7XKD8	RHTO_02581	1.2026054186491302e-06	1.1489199125914706e-06	1.5300089607868937e-06
M7XLZ5	RHTO_02069	2.221976867598849e-08	2.8681901713931517e-08	3.838216277560454e-08
M7WHX0	RHTO_03880	1.0528818321468445e-06	9.0673440680352e-07	9.669249371961459e-07
M7WZJ7	RHTO_07250	4.822064770161163e-06	4.663441617697833e-06	4.975966761755402e-06
M7X688	RHTO_00279	7.283155675286163e-06	6.57922637935135e-06	7.481517762955844e-06
M7XKQ2	RHTO_04638	2.0566884524704685e-08	1.672771371946599e-08	1.138329996227562e-08
M7WM53	RHTO_01647	0.0	0.0	0.0
M7XI84	RHTO_03896	1.391197834553872e-05	1.3411101485300106e-05	1.5089250041121921e-05
M7WS17	RHTO_02628	7.466978837266049e-07	6.987634050107089e-07	8.125602397313491e-07
